Application_ID,Age,Gender,Marital_Status,Education,Dependents,Residence_Type,City_Tier,Employment_Type,Years_at_Current_Job,Total_Work_Experience,Monthly_Income,Annual_Income,Other_Income,Existing_Loans,Existing_Loan_Amount,Monthly_EMI,Debt_to_Income,Savings,Investments,Bank_Balance,Credit_Card_Utilization,Number_of_Bank_Accounts,Number_of_Credit_Cards,Credit_Score,Loan_Defaults,Missed_Payments,Tax_Return_Filed,PAN_Verified,Aadhaar_Verified,Loan_Purpose,Loan_Amount,Loan_Tenure,Interest_Rate,Collateral,Property_Value,Collateral_Value,Loan_to_Value,Loan_Status
APP100000,24,Female,Single,Graduate,0,Rural,3,Private,1,2,60328,799160,0.0,0,0,0,0.0,1162827.0,126871.0,1107114.0,25.74,3,3,716.0,0,0,Yes,Yes,Yes,Vehicle,957295,3,9.05,Yes,1375548.0,1160384.0,82.5,Approved
APP100001,26,Male,Married,Graduate,2,Urban,1,Private,0,4,50161,607602,0.0,1,380423,5146,10.26,494394.0,110486.0,224539.0,31.53,3,1,622.0,0,0,Yes,Yes,Yes,Home,3245374,30,12.74,Yes,5953437.0,5209406.0,62.3,Approved
APP100002,58,Female,Married,Post Graduate,1,Urban,1,Government,21,33,189244,2375961,0.0,2,12237646,136268,72.01,1475373.0,0.0,812703.0,1.98,4,4,585.0,0,1,Yes,Yes,Yes,Home,13847512,25,14.36,Yes,19901144.0,17072665.0,81.11,Rejected
APP100003,38,Others,Married,Graduate,1,Rural,4,Private,2,8,35947,468925,0.0,0,0,0,0.0,171512.0,0.0,87996.0,26.43,1,1,762.0,1,0,No,Yes,Yes,Medical,277514,3,8.61,No,,,,Approved
APP100004,32,Female,Single,PhD,0,Rural,4,Government,1,5,59807,766432,0.0,3,2664833,30435,50.89,206550.0,144120.0,193930.0,79.08,3,1,539.0,0,2,Yes,Yes,Yes,Home,1899085,20,14.23,Yes,2569014.0,2537834.0,74.83,Rejected
APP100005,28,Male,Married,Graduate,2,Urban,3,Government,0,2,36870,472545,0.0,0,0,0,0.0,398160.0,53774.0,395391.0,21.39,1,2,674.0,0,0,Yes,Yes,Yes,Home,1394906,30,10.79,Yes,2776972.0,2387854.0,58.42,Approved
APP100006,43,Male,Married,Post Graduate,2,Urban,3,Private,5,13,69585,934370,0.0,0,0,0,0.0,1262924.0,0.0,1000691.0,36.59,2,3,603.0,1,0,Yes,Yes,Yes,Medical,302340,3,12.49,No,,,,Approved
APP100007,27,Female,Married,High School,2,Urban,1,Self-Employed,1,2,48734,652322,0.0,0,0,0,0.0,1141874.0,218440.0,707439.0,32.14,2,1,675.0,0,0,Yes,Yes,Yes,Education,636773,7,10.73,No,,,,Approved
APP100008,62,Female,Widowed,Post Graduate,0,Rural,3,Private,4,6,39435,487083,0.0,1,414907,5519,14.0,795404.0,452375.0,840216.0,21.91,3,2,662.0,0,0,No,Yes,Yes,Business,1233098,10,11.25,No,,,,Approved
APP100009,51,Male,Widowed,Post Graduate,1,Urban,2,Self-Employed,17,18,75232,975750,0.0,0,0,0,0.0,555144.0,286680.0,561714.0,12.84,1,1,656.0,0,0,Yes,Yes,Yes,Home,2717308,25,10.58,Yes,3942320.0,3193149.0,85.1,Approved
APP100010,22,Male,Single,Diploma,0,Urban,2,Government,0,0,60017,770575,47053.0,0,0,0,0.0,125227.0,31860.0,106555.0,32.88,2,3,668.0,0,0,Yes,Yes,Yes,Personal,1019101,2,10.15,No,,,,Approved
APP100011,29,Male,Married,Graduate,2,Rural,4,Private,0,3,44212,586532,0.0,0,0,0,0.0,548017.0,155769.0,256319.0,98.98784180197511,2,1,641.0,0,0,Yes,Yes,Yes,Business,1451604,5,11.72,Yes,2858876.0,2844592.0,51.03,Approved
APP100012,34,Male,Married,Post Graduate,1,Urban,2,Private,0,2,43408,528345,0.0,2,722179,8900,20.5,431450.0,459806.0,297222.0,30.78,2,1,632.0,0,0,Yes,Yes,Yes,Vehicle,375874,5,12.34,Yes,777228.0,761842.0,49.34,Approved
APP100013,53,Male,Married,PhD,1,Urban,2,Government,2,30,109812,1336517,0.0,2,1206046,10915,9.94,1075472.0,342076.0,931898.0,27.11,2,2,541.0,1,1,No,Yes,Yes,Personal,389005,2,14.93,No,,,,Rejected
APP100014,27,Male,Married,Graduate,2,Urban,1,Private,1,2,95624,1265800,0.0,0,0,0,0.0,1399102.0,0.0,1333743.0,19.83,2,3,673.0,0,0,Yes,Yes,Yes,Home,4387423,30,11.47,Yes,9483773.0,8603872.0,50.99,Approved
APP100015,33,Female,Single,High School,0,Urban,2,Unemployed,0,1,8056,109689,0.0,1,294704,3906,48.49,91414.0,0.0,49749.0,31.85,1,1,582.0,0,1,Yes,Yes,Yes,Home,582165,30,16.9,Yes,1079600.0,1019208.0,57.12,Rejected
APP100016,38,Male,Married,Diploma,1,Urban,1,Private,3,14,87479,1168669,0.0,1,3211298,39598,45.27,515473.0,0.0,446923.0,70.04,2,1,594.0,0,1,Yes,Yes,Yes,Vehicle,1039164,3,15.05,No,,,,Approved
APP100017,48,Male,Married,No Formal,0,Urban,1,Unemployed,0,21,33317,432740,0.0,2,682241,7043,21.14,527918.0,0.0,525996.0,28.37,2,1,606.0,0,1,Yes,Yes,Yes,Vehicle,374700,7,11.73,Yes,644969.0,519688.0,72.1,Rejected
APP100018,58,Female,Widowed,Diploma,2,Urban,1,Private,11,15,111829,1481525,81653.0,1,636247,5758,5.15,1930312.0,800366.0,1517205.0,19.9,5,2,670.0,0,0,Yes,Yes,Yes,Personal,326485,5,11.38,No,,,,Approved
APP100019,50,Female,Married,High School,2,Rural,3,Self-Employed,22,22,101500,1265152,0.0,2,2764900,22151,21.82,1762594.0,0.0,1057828.0,47.45,2,2,669.0,0,0,Yes,Yes,Yes,Home,2748535,30,11.54,Yes,5818923.0,5140906.0,53.46,Approved
APP100020,42,Male,Divorced,Graduate,3,Urban,3,Private,11,13,59038,750685,143427.0,0,0,0,0.0,1473998.0,0.0,1162667.0,45.8,2,1,664.0,0,0,Yes,Yes,Yes,Vehicle,796651,3,11.69,Yes,1091426.0,982563.0,81.08,Approved
APP100021,29,Female,Single,No Formal,1,Rural,4,Self-Employed,1,1,60169,796227,0.0,2,3461924,72843,95.0,36404.0,0.0,67192.0,51.05,1,3,367.0,1,4,Yes,Yes,Yes,Personal,558687,2,14.58,No,,,,Rejected
APP100022,36,Female,Married,Graduate,0,Urban,2,Private,4,8,86447,1146611,52439.0,3,1627810,20910,24.19,726870.0,0.0,711586.0,24.78,2,2,637.0,0,0,Yes,Yes,Yes,Medical,758899,2,11.92,Yes,1597537.0,1385926.0,54.76,Approved
APP100023,42,Male,Married,No Formal,1,Urban,2,Unemployed,2,9,21543,273081,6004.0,0,0,0,0.0,360674.0,0.0,113798.0,50.71,1,1,646.0,0,0,Yes,Yes,Yes,Personal,154077,3,13.78,No,,,,Rejected
APP100024,40,Male,Married,High School,2,Rural,4,Private,0,0,29022,373666,0.0,3,185121,2235,7.7,305930.0,0.0,314637.0,6.92,1,1,649.0,0,0,Yes,Yes,Yes,Business,1180648,5,13.15,Yes,2142586.0,1725061.0,68.44,Approved
APP100025,63,Male,Married,High School,1,Urban,2,Private,9,25,92793,1217944,0.0,3,1940060,24244,26.13,867093.0,647552.0,831364.0,25.33,3,2,629.0,0,0,Yes,Yes,Yes,Home,3444216,15,11.69,Yes,5186675.0,4244536.0,81.14,Approved
APP100026,40,Male,Married,Post Graduate,3,Urban,3,Government,7,19,83703,1023783,354033.0,1,3081490,34432,41.14,861790.0,338215.0,340618.0,57.01,3,3,606.0,0,1,Yes,Yes,Yes,Personal,459763,3,13.77,No,,,,Approved
APP100027,23,Male,Single,Graduate,0,Rural,4,Self-Employed,1,1,30594,395308,0.0,0,0,0,0.0,568080.0,325724.0,644969.0,17.15,2,2,650.0,0,0,Yes,Yes,Yes,Home,1608253,15,10.49,Yes,2069078.0,1920060.0,83.76,Approved
APP100028,38,Male,Married,PhD,1,Urban,2,Private,1,5,95968,1211917,0.0,0,0,0,0.0,1099376.0,0.0,,27.51,3,3,669.0,0,0,Yes,Yes,Yes,Business,2207016,10,10.08,Yes,3856863.0,3549774.0,62.17,Approved
APP100029,43,Male,Married,Diploma,2,Urban,2,Self-Employed,15,15,86386,1094056,0.0,2,1215771,14159,16.39,1599386.0,484305.0,614152.0,35.35,2,1,623.0,0,0,Yes,Yes,Yes,Vehicle,933433,3,12.58,Yes,1421943.0,1239403.0,75.31,Approved
APP100030,34,Female,Divorced,Graduate,0,Urban,3,Private,1,11,48134,623831,78432.0,1,560153,6469,13.44,941812.0,0.0,912401.0,55.15,2,2,633.0,0,0,Yes,Yes,Yes,Home,3321994,20,13.4,Yes,6013724.0,5796028.0,57.32,Approved
APP100031,26,Male,Single,PhD,0,Urban,1,Private,2,4,91435,1151153,0.0,1,3729507,35886,39.25,923681.0,713850.0,537777.0,64.79,3,1,630.0,0,1,Yes,Yes,Yes,Business,2139899,15,12.71,Yes,3252370.0,3120465.0,68.58,Rejected
APP100032,33,Male,Single,Graduate,0,Urban,1,Self-Employed,0,0,76032,903970,,0,0,0,0.0,211223.0,29471.0,173114.0,19.77,2,3,668.0,0,0,,Yes,Yes,Vehicle,463982,5,10.17,Yes,689970.0,689133.0,67.33,Approved
APP100033,34,Male,Divorced,High School,0,Urban,2,Private,4,11,56334,754867,0.0,1,882942,11233,19.94,341024.0,106958.0,212203.0,19.93,1,1,627.0,0,0,Yes,Yes,Yes,Education,192713,7,13.86,No,,,,Approved
APP100034,39,Male,Married,Graduate,2,Urban,2,Private,3,5,35161,439995,0.0,2,1685847,19377,55.11,65709.0,0.0,51363.0,58.21,4,1,536.0,0,1,Yes,Yes,Yes,Business,1578481,15,13.88,Yes,3170267.0,2547803.0,61.95,Rejected
APP100035,34,Female,Single,High School,0,Urban,2,Private,0,1,42608,540024,6698.0,0,0,0,0.0,998553.0,0.0,,45.94,3,2,,0,0,Yes,Yes,Yes,Home,2048070,20,,Yes,4174882.0,3411653.0,60.03,Approved
APP100036,57,Male,Married,Post Graduate,0,Urban,1,Private,6,22,111026,1334511,0.0,2,7938463,74155,66.79,565911.0,194234.0,379650.0,65.39,2,3,420.0,1,4,Yes,Yes,Yes,Home,4912017,30,14.09,Yes,8721321.0,7151033.0,68.69,Rejected
APP100037,61,Male,Married,High School,0,Urban,1,Self-Employed,0,4,87529,1067275,79370.0,1,1266296,14579,16.66,1816612.0,0.0,2059827.0,7.95,3,2,675.0,0,1,Yes,Yes,Yes,Vehicle,1069668,5,10.79,Yes,2144845.0,1911937.0,55.95,Approved
APP100038,53,Male,Married,High School,0,Rural,3,Unemployed,6,20,50066,590356,0.0,1,687317,8267,16.51,1014588.0,280029.0,1015496.0,40.09,2,2,664.0,0,0,Yes,Yes,Yes,Home,1244286,20,11.8,Yes,2552539.0,2500183.0,49.77,Rejected
APP100039,43,Male,Married,PhD,1,Urban,1,Government,0,17,121776,1466136,0.0,0,0,0,0.0,1756223.0,605488.0,1503943.0,40.37,4,5,689.0,0,0,Yes,Yes,Yes,Home,6878762,30,10.34,Yes,11317176.0,10242167.0,67.16,Approved
APP100040,29,Male,Married,High School,0,Urban,1,Self-Employed,1,6,131052,1647898,0.0,1,3812675,39142,29.87,1644503.0,0.0,1657487.0,57.22,4,4,623.0,0,0,Yes,Yes,No,Personal,834315,3,13.95,No,,,,Approved
APP100041,31,Male,Married,Graduate,0,Urban,1,Private,2,6,61521,808571,0.0,1,2649004,23064,37.49,777501.0,0.0,367912.0,43.61,2,1,603.0,0,1,Yes,Yes,Yes,Home,3917500,15,13.8,Yes,7304766.0,6457837.0,60.66,Approved
APP100042,32,Male,Single,Graduate,0,Urban,3,Private,4,5,52966,643853,0.0,0,0,0,0.0,275542.0,0.0,235776.0,18.27,1,2,686.0,0,0,No,Yes,Yes,Personal,188253,3,10.22,No,,,,Approved
APP100043,38,Female,Married,High School,1,Urban,1,Private,10,12,56917,721152,66219.0,3,3157486,35196,61.84,457667.0,184658.0,250811.0,69.22,2,1,420.0,1,3,Yes,Yes,Yes,Business,1142264,10,16.86,No,,,,Rejected
APP100044,43,Male,Married,Graduate,3,Urban,1,Government,6,8,88751,1127251,24560.0,0,0,0,0.0,521261.0,767952.0,458393.0,67.37,4,2,676.0,0,0,No,Yes,Yes,Home,6467829,20,11.76,Yes,14050447.0,11808532.0,54.77,Approved
APP100045,38,Male,Married,Diploma,0,Rural,3,Private,12,16,58995,773484,0.0,0,0,0,0.0,1280924.0,0.0,804111.0,60.25,1,1,639.0,0,0,Yes,Yes,Yes,Business,3016317,5,12.36,Yes,5722768.0,5215299.0,57.84,Approved
APP100046,47,Female,Single,High School,0,Rural,4,Private,13,23,74611,963260,0.0,1,2127725,22109,29.63,477514.0,0.0,560431.0,29.57,2,1,628.0,0,1,Yes,Yes,Yes,Personal,775195,5,12.58,No,,,,Approved
